epoch_ns	iso_time	masters	autoscaling	standby	last_scale	sts_desired	sts_ready	cluster_state	cluster_size	known_nodes	slots_ok	slots_fail	action
1787124692452599466	2026-08-19T07:31:32.454424526Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124698100693669	2026-08-19T07:31:38.102761002Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124704140276375	2026-08-19T07:31:44.142281406Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124710164620141	2026-08-19T07:31:50.168051143Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124716306133770	2026-08-19T07:31:56.309584755Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124722366220687	2026-08-19T07:32:02.368613123Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124728605190247	2026-08-19T07:32:08.607373135Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124734656576849	2026-08-19T07:32:14.658449236Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124740814344997	2026-08-19T07:32:20.817288515Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124746899764545	2026-08-19T07:32:26.901846222Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124752928656190	2026-08-19T07:32:32.931482391Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124759256260435	2026-08-19T07:32:39.259245884Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124765328145607	2026-08-19T07:32:45.331624212Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124771478003923	2026-08-19T07:32:51.480454109Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124777609066263	2026-08-19T07:32:57.612496775Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124783724505460	2026-08-19T07:33:03.727414113Z	3	NA	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	3	8	16384	0	none
1787124789683900830	2026-08-19T07:33:09.685847353Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124796051208965	2026-08-19T07:33:16.057237849Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124802614754597	2026-08-19T07:33:22.619680075Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124809863545648	2026-08-19T07:33:29.870402166Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124817419014936	2026-08-19T07:33:37.424909376Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124824453889675	2026-08-19T07:33:44.459506322Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124831757593677	2026-08-19T07:33:51.764827439Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124839142108248	2026-08-19T07:33:59.148902975Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124846012065814	2026-08-19T07:34:06.019866445Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124852627966912	2026-08-19T07:34:12.632095433Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124859976580617	2026-08-19T07:34:19.982222328Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124867646740675	2026-08-19T07:34:27.655649974Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124874731977120	2026-08-19T07:34:34.733756608Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787124881389886125	2026-08-19T07:34:41.392773123Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
