epoch_ns	p99_us
1787124785856595143	14471
1787124785957438696	13503
1787124786058216965	12263
1787124786179242130	16911
1787124786280075909	13199
1787124786360752665	12535
1787124786481661444	16991
1787124786562314448	19039
1787124786683287811	11871
1787124786804544267	14191
1787124786885241154	19199
1787124787006526422	24271
1787124787107518580	29839
1787124787208789539	17695
1787124787314000132	19247
1787124787415010043	15079
1787124787516117246	13471
1787124787618752411	15527
1787124787720331975	23535
1787124787824786206	24111
1787124787885491235	18751
1787124788007617290	19039
1787124788089510710	29439
1787124788150055039	24575
1787124788250949482	19023
1787124788351770844	12463
1787124788453110324	31247
1787124788574398078	15103
1787124788676837790	26095
1787124788757679476	22543
1787124788858854233	17887
1787124788959837902	19983
1787124789040694217	20639
1787124789162500768	22559
1787124789263585998	17487
1787124789364628241	15719
1787124789445519650	22479
1787124789546632379	23951
1787124789647733818	15991
1787124789769164849	14191
1787124789870217332	15367
1787124789971240570	18271
1787124790072411212	16447
1787124790153215392	19711
1787124790256133945	19343
1787124790449561471	109759
1787124790592979478	203007
1787124790677706872	245759
1787124790800423697	223359
1787124791042921352	547327
1787124791306145296	704511
1787124791407314776	817151
1787124791488311482	837631
1787124791589890697	829951
1787124791692579512	904191
1787124791774637267	768511
1787124791858533995	787967
1787124791965667896	838655
1787124792068554288	836607
1787124792129556770	1084415
1787124792231396497	1051647
1787124792374060261	1174527
1787124792476705589	870399
1787124792579546796	1485823
1787124792660752561	840191
1787124792762519760	1426431
1787124792846729404	1187839
1787124792947875676	1248255
1787124793049038523	1575935
1787124793151083871	1593343
1787124793234431868	1083391
1787124793315397751	1591295
1787124793580219036	1155071
1787124793641037770	1586175
1787124793742652724	1148927
1787124793904695423	1660927
1787124794009474054	1850367
1787124794111753791	1724415
1787124794214633449	1297407
1787124794318175387	1810431
1787124794379158055	1885183
1787124794503177733	1884159
1787124794604965101	1404927
1787124794666268644	1559551
1787124794789806206	1560575
1787124794893561831	1507327
1787124794954678470	1468415
1787124795098856165	1489919
1787124795200972100	1521663
1787124795303182509	1526783
1787124795365348591	1164287
1787124795448672916	1683455
1787124795572069937	1789951
1787124795676479810	1455103
1787124795777552859	1656831
1787124795863531683	1497087
1787124795944382648	1522687
1787124796068889147	1431551
1787124796195518954	1668095
1787124796256264037	1626111
1787124796502569012	1411071
1787124796566308063	1826815
1787124796709971794	1517567
1787124796792225847	1966079
1787124796898681954	1851391
1787124796982810644	1963007
1787124797170760395	1421311
1787124797252610609	1993727
1787124797376411211	2056191
1787124797459530782	1976319
1787124797605866225	2369535
1787124797688031998	2002943
1787124797770214795	1844223
1787124797873540370	1932287
1787124797995488006	1696767
1787124798056233085	2094079
1787124798159885631	1778687
1787124798263527769	1709055
1787124798365429125	1698815
1787124798446326525	2117631
1787124798630743692	2037759
1787124798692699137	2148351
1787124798856228314	1964031
1787124798918752211	2134015
1787124799022812642	2072575
1787124799125466303	2111487
1787124799227471201	2242559
1787124799335221248	1862655
1787124799416299465	1874943
1787124799477238003	2342911
1787124799661507007	2504703
1787124799806980767	2539519
1787124799908129494	2177023
1787124800009631499	2557951
1787124800090571827	2224127
1787124800197836495	2697215
1787124800299422053	2172927
1787124800400583767	2418687
1787124800502725088	2674687
1787124800583617294	2603007
1787124800726531415	2809855
1787124800787571036	2158591
1787124800910500774	2777087
1787124800971109351	2258943
1787124801093537821	2162687
1787124801196067550	2220031
1787124801278020970	2166783
1787124801439874403	2308095
1787124801540846177	2248703
1787124801642500528	2111487
1787124801744616298	2623487
1787124801825466685	2240511
1787124801926512239	2514943
1787124802211466883	1976319
1787124802312515674	2656255
1787124802396511630	2410495
1787124802517689497	2846719
1787124802598508351	2555903
1787124802680817566	2686975
1787124802784351467	2762751
1787124802909945698	3024895
1787124802971635326	2525183
1787124803137628111	2754559
1787124803262543885	2615295
1787124803388534957	2742271
1787124803472594855	2717695
1787124803575984506	2899967
1787124803680716206	2973695
1787124803783713261	2899967
1787124803886970097	2824191
1787124803969725507	2832383
1787124804076026565	3174399
1787124804177755034	2400255
1787124804283532790	2985983
1787124804344506244	2887679
1787124804448932013	2570239
1787124804555063195	2891775
1787124804657392708	2863103
1787124804781533062	2670591
1787124804884461640	2711551
1787124804985653668	2813951
1787124805066509429	2891775
1787124805187868953	2750463
1787124805289692078	2709503
1787124805392340234	3125247
1787124805514237532	2902015
1787124805618998189	3235839
1787124805701553244	3012607
1787124805804317311	3219455
1787124805925860043	2928639
1787124806047972124	3022847
1787124806129792468	3112959
1787124806234557335	2967551
1787124806355890299	2746367
1787124806436881712	2654207
1787124806559791393	2641919
1787124806640760091	2664447
1787124806743752376	2670591
1787124806824794324	2813951
1787124806926392589	2697215
1787124807029888500	2650111
1787124807092268076	2670591
1787124807456801738	3008511
1787124807539821775	2875391
1787124807620781849	3125247
1787124807724759354	2942975
1787124807847531499	2760703
1787124807910567325	3053567
1787124808035597807	3577855
1787124808096327532	3018751
1787124808197566099	3145727
1787124808298832631	3131391
1787124808400266428	3119103
1787124808503120720	3583999
1787124808564946749	2994175
1787124808747491800	3121151
1787124808870213683	3299327
1787124808951269795	3289087
1787124809053780222	3514367
1787124809157018264	3315711
1787124809258744673	3534847
1787124809383002842	3514367
1787124809463960403	3235839
1787124809565137639	3762175
1787124809688178307	3428351
1787124809749742130	3612671
1787124809893540648	3653631
1787124810001999527	3450879
1787124810106554075	3457023
1787124810171167157	3704831
1787124810278551473	3379199
1787124810403536363	3809279
1787124810485587491	3475455
1787124810589441587	3563519
1787124810672119614	3891199
1787124810861715947	3852287
1787124810965194051	3946495
1787124811049007009	3950591
1787124811156545911	4009983
1787124811239266948	4108287
1787124811322516142	4118527
1787124811430891147	4198399
1787124811534439350	4190207
1787124811596526479	4403199
1787124811708683910	4120575
1787124811810950347	3819519
1787124811916263791	3966975
1787124812000722542	4026367
1787124812098478586	4198399
1787124812194892011	4046847
1787124812279246547	3956735
1787124812400743038	4292607
1787124812482259978	4329471
1787124812606274638	3753983
1787124812687329741	4415487
1787124812830342263	3878911
1787124812934559417	4333567
1787124812995575466	4075519
1787124813177334995	4435967
1787124813280185551	4122623
1787124813424189119	4571135
1787124813546949383	4612095
1787124813648181863	4661247
1787124813770184447	4767743
1787124813852977455	4808703
1787124813955968459	4464639
1787124814058996226	4562943
1787124814161152077	4653055
1787124814263623514	4030463
1787124814366319647	4767743
1787124814428729046	4636671
1787124814591460873	4669439
1787124814713304525	4481023
1787124814795632609	4538367
1787124814876631054	4607999
1787124814981312409	4771839
1787124815082908732	4349951
1787124815184947020	4960255
1787124815293779745	4808703
1787124815374753295	4825087
1787124815476117157	4612095
1787124815582222022	4620287
1787124815686202829	5013503
1787124815787996683	4947967
1787124815929740375	5128191
1787124816010702661	4935679
1787124816132039272	4939775
1787124816235063296	5140479
1787124816316075676	5111807
1787124816438987070	4841471
1787124816542961262	5099519
1787124816686141478	5275647
1787124816787037929	5197823
1787124816909909655	4800511
1787124817011544915	4968447
1787124817093887217	5177343
1787124817235980880	5369855
1787124817338065526	5181439
1787124817439402145	5423103
1787124817527541372	5312511
1787124817633399384	4210687
1787124817738543486	5525503
1787124817843467848	5439487
1787124817945571791	5500927
1787124818111548521	5951487
1787124818215962871	5492735
1787124818303569360	4841471
1787124818406716172	5623807
1787124818491593091	5877759
1787124818760773690	5971967
1787124818863767061	5726207
1787124818946149274	5832703
1787124819050501189	5984255
1787124819177720335	6225919
1787124819238899837	5955583
1787124819363760207	6516735
1787124819467694959	5648383
1787124819549209951	6143999
1787124819671469204	6090751
1787124819773008240	6119423
1787124819854926615	6209535
1787124819956180729	6135807
1787124820038508269	6189055
1787124820159848231	5926911
1787124820262413793	6316031
1787124820347528292	5636095
1787124820448579941	5857279
1787124820530928248	6152191
1787124820653618727	6180863
1787124820715313414	6012927
1787124820818348584	5984255
1787124820902008691	6295551
1787124821044879506	6201343
1787124821125707809	6164479
1787124821206837568	6143999
1787124821308707090	6193151
1787124821430300813	6254591
1787124821535642257	6184959
1787124821616520778	6279167
1787124821717808491	6086655
1787124821800044371	6299647
1787124821922009418	6225919
1787124822024236491	6610943
1787124822105453108	5484543
1787124822208729997	6533119
1787124822330914657	6512639
1787124822392036931	6340607
1787124822472909979	6373375
1787124822594229623	6340607
1787124822675804486	6418431
1787124822839983372	6217727
1787124822942978169	6406143
1787124823025102418	6086655
1787124823128547549	6377471
1787124823209616968	6844415
1787124823373094632	6877183
1787124823476181462	6639615
1787124823557010519	6742015
1787124823720543370	6926335
1787124823801394554	6828031
1787124823945933331	6561791
1787124823986393341	6864895
1787124824329710084	6815743
1787124824410751283	7065599
1787124824531962922	7167999
1787124824636506264	6004735
1787124824738664814	7016447
1787124824843866511	7049215
1787124824944886619	7094271
1787124825028690383	7139327
1787124825130709956	7167999
1787124825215454358	7258111
1787124825323525604	7008255
1787124825427546766	7352319
1787124825532807134	7090175
1787124825594874563	7131135
1787124825721527290	6807551
1787124825843698837	7299071
1787124825926652928	7348223
1787124826074745903	6893567
1787124826159802583	7024639
1787124826223571894	7155711
1787124826307715120	7213055
1787124826430666908	7516159
1787124826533303512	7016447
1787124826635626880	7458815
