snapshot,pod,role,slot_bearing,slot_count,slots,logical_keys
fixed3_before,redis-cluster-0,master,True,5461,"2730-5460,10923-13652",301
fixed3_before,redis-cluster-1,master,True,5462,5461-10922,319
fixed3_before,redis-cluster-2,master,True,5461,"0-2729,13653-16383",342
fixed3_before,redis-cluster-3,slave,False,0,none,342
fixed3_before,redis-cluster-4,slave,False,0,none,301
fixed3_before,redis-cluster-5,slave,False,0,none,319
fixed3_before,redis-cluster-6,master,False,0,none,0
fixed3_before,redis-cluster-7,slave,False,0,none,0
fixed4_after,redis-cluster-0,master,True,2731,"5460,10923-13652",150
fixed4_after,redis-cluster-1,master,True,5462,5461-10922,319
fixed4_after,redis-cluster-2,master,True,5461,"0-2729,13653-16383",342
fixed4_after,redis-cluster-3,slave,False,0,none,342
fixed4_after,redis-cluster-4,slave,False,0,none,150
fixed4_after,redis-cluster-5,slave,False,0,none,319
fixed4_after,redis-cluster-6,master,True,2730,2730-5459,151
fixed4_after,redis-cluster-7,slave,False,0,none,151
fixed4_after,redis-cluster-8,master,False,0,none,0
fixed4_after,redis-cluster-9,slave,False,0,none,0
